Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-10,0.2,-8,0.2)",9.334742,8.670268,-87.144730,-75.123306
"(-10,0.2,-8,0.4)",9.329624,8.726256,-87.667046,-75.075195
"(-10,0.2,-8,0.6)",9.253771,8.888124,-89.154091,-74.354904
"(-10,0.2,-8,0.8)",8.686778,8.791855,-87.780556,-69.411018
"(-10,0.2,-8,1)",7.000813,4.000579,-49.004051,-16.000002
"(-10,0.2,-8,2)",6.831503,1.526722,-32.075401,0.546910
"(-10,0.2,-8,4)",7.544021,-4.873353,18.236717,-47.557632
"(-10,0.2,-8,6)",5.022825,-12.991312,40.253613,-53.560764
"(-10,0.2,-8,8)",-79.880592,-22.895166,5350.835449,13509.506836
"(-10,0.2,-8,10)",-56.547306,231.137390,16833.267578,-66056.382812
"(-10,0.2,-6,0)",8.800738,7.347000,-75.213402,-54.762615
"(-10,0.2,-6,0.2)",8.961268,6.950394,-71.592697,-55.678734
"(-10,0.2,-6,0.4)",8.664165,7.338647,-75.157143,-53.759396
"(-10,0.2,-6,0.6)",8.669635,7.340864,-75.176392,-53.799511
"(-10,0.2,-6,0.8)",8.935145,7.357016,-75.250641,-55.752419
"(-10,0.2,-6,1)",6.545332,3.000000,-42.247948,-9.000000
"(-10,0.2,-6,2)",6.606097,1.526722,-32.506126,3.256221
"(-10,0.2,-6,4)",6.697808,-6.898751,24.089058,-49.634258
"(-10,0.2,-6,6)",6.492316,-10.690880,46.635586,-168.602646
"(-10,0.2,-6,8)",5.985757,-16.165615,72.735168,-319.023346
"(-10,0.2,-6,10)",-51.477604,396.867188,23594.492188,-28745.595703
"(-10,0.2,-4,0)",7.777376,5.997197,-63.928638,-34.664875
"(-10,0.2,-4,0.2)",8.060594,6.002171,-64.013824,-36.363689
"(-10,0.2,-4,0.4)",8.224314,5.712480,-61.585026,-37.198719
"(-10,0.2,-4,0.6)",8.130136,5.889587,-63.085392,-36.754253
"(-10,0.2,-4,0.8)",8.216757,5.990256,-63.872955,-37.298332
"(-10,0.2,-4,1)",5.709034,1.999962,-35.915123,-4.000000
"(-10,0.2,-4,2)",6.160479,1.526722,-33.058628,5.629329
"(-10,0.2,-4,4)",5.000165,-7.531047,12.656477,-26.128578
"(-10,0.2,-4,6)",5.260215,-12.535669,41.008018,-122.415894
"(-10,0.2,-4,8)",-60.680382,-19.843750,3084.786133,8902.033203
"(-10,0.2,-4,10)",-227.053452,-95.024467,32248.171875,203590.437500
"(-10,0.2,-2,0)",7.317983,4.666026,-53.772850,-21.706150
"(-10,0.2,-2,0.2)",7.302330,4.677051,-53.852642,-21.632666
