Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(0,1,-10,0)",1.773363,5.697803,-3.814642,-34.617344
"(0,1,-10,0.2)",1.647125,5.739176,-4.027099,-33.906754
"(0,1,-10,0.4)",1.530475,5.645451,-3.955514,-33.223614
"(0,1,-10,0.6)",1.601268,5.717325,-4.026851,-33.640415
"(0,1,-10,0.8)",1.796840,5.639526,-3.676059,-34.724331
"(0,1,-10,1)",1.262433,5.000665,-3.125530,-25.000000
"(0,1,-10,2)",0.915005,4.375747,-2.329362,-20.606480
"(0,1,-10,4)",0.915003,1.526722,0.277505,-8.745474
"(0,1,-10,6)",0.915037,1.526722,0.277579,-5.951302
"(0,1,-10,8)",0.915034,1.526722,0.277572,-3.157321
"(0,1,-10,10)",0.915126,1.526722,0.277768,-0.362057
"(0,1,-8,0)",1.153257,4.500424,-2.530142,-20.939720
"(0,1,-8,0.2)",1.142562,4.500424,-2.531118,-20.891588
"(0,1,-8,0.4)",1.072298,4.500424,-2.526150,-20.575369
"(0,1,-8,0.6)",1.196060,4.578405,-2.614928,-21.141493
"(0,1,-8,0.8)",1.154561,4.573034,-2.613825,-20.951477
"(0,1,-8,1)",0.999902,3.999188,-1.999188,-15.999998
"(0,1,-8,2)",0.915039,3.499707,-1.527776,-12.547340
"(0,1,-8,4)",0.915060,1.526722,0.277628,-5.691769
"(0,1,-8,6)",0.915026,1.526722,0.277556,-2.897942
"(0,1,-8,8)",0.915108,1.526722,0.277731,-0.103085
"(0,1,-8,10)",0.915130,1.526722,0.277778,2.691451
"(0,1,-6,0)",0.846356,3.433638,-1.473443,-11.718040
"(0,1,-6,0.2)",0.842629,3.430279,-1.470405,-11.705312
"(0,1,-6,0.4)",0.856541,3.427469,-1.468443,-11.753039
"(0,1,-6,0.6)",0.928430,3.425275,-1.456163,-11.999269
"(0,1,-6,0.8)",0.805849,3.450608,-1.481884,-11.577621
"(0,1,-6,1)",0.814011,3.000688,-1.117365,-9.000000
"(0,1,-6,2)",0.803650,2.625773,-0.818495,-6.749751
"(0,1,-6,4)",0.803668,1.526722,0.064787,-3.148520
"(0,1,-6,6)",0.803608,1.526722,0.064686,-0.695022
"(0,1,-6,8)",0.803685,1.526722,0.064816,1.759573
"(0,1,-6,10)",0.803680,-44.293468,36.889580,1907.292236
"(0,1,-4,0)",0.606532,2.286709,-0.651200,-5.304760
"(0,1,-4,0.2)",0.574108,2.291031,-0.656099,-5.230600
"(0,1,-4,0.4)",0.579805,2.288410,-0.654484,-5.243652
"(0,1,-4,0.6)",0.544312,2.294859,-0.656568,-5.162178
"(0,1,-4,0.8)",0.574947,2.295117,-0.658443,-5.232477
"(0,1,-4,1)",0.612998,2.000001,-0.474464,-4.000000
"(0,1,-4,2)",0.581007,1.526722,-0.211898,-2.888972
"(0,1,-4,4)",0.581031,1.526722,-0.211878,-1.114789
"(0,1,-4,6)",0.581142,1.526722,-0.211790,0.660205
"(0,1,-4,8)",0.581128,1.526722,-0.211801,2.434537
"(0,1,-4,10)",0.581003,9.254360,-4.701686,97.017082
"(0,1,-2,0)",0.289263,1.144485,-0.163711,-1.310181
"(0,1,-2,0.2)",0.288979,1.143485,-0.163426,-1.309855
"(0,1,-2,0.4)",0.276005,1.145729,-0.163869,-1.294991
"(0,1,-2,0.6)",0.293407,1.143485,-0.163331,-1.314919
"(0,1,-2,0.8)",0.322001,1.150934,-0.163233,-1.347821
"(0,1,-2,1)",0.249948,0.999745,-0.124936,-1.000000
"(0,1,-2,2)",0.233507,0.621924,-0.036173,-0.711835
"(0,1,-2,4)",0.173815,0.621924,-0.047676,-0.532759
"(0,1,-2,6)",-0.047760,0.621924,0.034265,-1.005574
"(0,1,-2,8)",-0.168606,2.176080,0.423757,-2.185142
"(0,1,-2,10)",-159002.078125,4.063951,50563969024.000000,-5815582.000000
"(0,1,0,0)",-0.043778,0.041120,0.005633,0.003491
"(0,1,0,0.2)",-0.023024,0.003461,0.001140,0.000092
"(0,1,0,0.4)",0.219228,0.005477,0.094921,-0.001171
"(0,1,0,0.6)",-0.014270,0.051956,0.001149,0.003441
"(0,1,0,0.8)",0.077278,0.002232,0.011771,-0.000167
"(0,1,0,1)",-0.026528,0.000000,0.001407,0.000000
"(0,1,0,2)",-0.049272,-0.051938,0.002296,0.005257
"(0,1,0,4)",-0.066885,-0.117058,0.001118,0.037191
"(0,1,0,6)",-0.077883,0.347387,0.039187,-0.014599
"(0,1,0,8)",-0.592593,0.692923,1.112956,-2.394211
"(0,1,0,10)",-51.894913,-11.238441,4802.945801,5375.263184
"(0,1,2,0)",-0.309042,-1.144939,-0.162820,-1.332827
"(0,1,2,0.2)",-0.308172,-1.126423,-0.157192,-1.331149
"(0,1,2,0.4)",-0.308036,-1.144446,-0.162758,-1.331666
"(0,1,2,0.6)",-0.308112,-1.145849,-0.163184,-1.331778
"(0,1,2,0.8)",-0.323016,-1.144224,-0.160924,-1.348802
"(0,1,2,1)",-0.216743,-1.000065,-0.122802,-1.000000
"(0,1,2,2)",-0.228635,-0.620319,-0.037279,-0.714016
"(0,1,2,4)",-0.228617,-0.620319,-0.037284,-0.430397
"(0,1,2,6)",-0.228590,-0.620319,-0.037292,-0.146848
"(0,1,2,8)",-0.228555,-0.620319,-0.037302,0.136599
"(0,1,2,10)",-0.228602,-0.620319,-0.037289,0.420413
"(0,1,4,0)",-0.602744,-2.302803,-0.661400,-5.296311
"(0,1,4,0.2)",-0.659192,-2.285315,-0.637393,-5.425057
"(0,1,4,0.4)",-0.710298,-2.287707,-0.615907,-5.542179
"(0,1,4,0.6)",-0.596498,-2.254607,-0.633249,-5.280045
"(0,1,4,0.8)",-0.522996,-2.285860,-0.648446,-5.113780
"(0,1,4,1)",-0.487752,-2.000182,-0.499789,-4.000000
"(0,1,4,2)",-0.512157,-2.027907,-0.513997,-2.960615
"(0,1,4,4)",-0.228605,-2.027907,-0.359070,-2.608450
"(0,1,4,6)",-0.082650,-2.027907,-0.153945,-3.161185
"(0,1,4,8)",-0.088888,-2.027907,-0.164454,-2.737430
"(0,1,4,10)",-0.659192,-2.027907,-0.467712,8.031800
"(0,1,6,0)",-0.902472,-3.425836,-1.462810,-11.910385
"(0,1,6,0.2)",-0.895984,-3.426880,-1.464855,-11.888203
"(0,1,6,0.4)",-0.900801,-3.411035,-1.449779,-11.903715
"(0,1,6,0.6)",-0.699139,-3.426062,-1.417703,-11.213766
"(0,1,6,0.8)",-1.296776,-3.455735,-1.118059,-13.273620
"(0,1,6,1)",-0.772493,-2.999676,-1.123738,-9.000000
"(0,1,6,2)",-0.935878,-2.027907,-0.146138,-6.157162
"(0,1,6,4)",-0.093540,-2.027907,-0.172191,-7.485964
"(0,1,6,6)",-0.477809,-2.027907,-0.512349,-3.210275
"(0,1,6,8)",-1.437450,-2.027907,1.217510,12.350069
"(0,1,6,10)",-0.238453,-2.027907,-0.369841,-3.702995
"(0,1,8,0)",-1.308203,-4.632888,-2.637968,-21.660212
"(0,1,8,0.2)",-1.035091,-4.494694,-2.509590,-20.407698
"(0,1,8,0.4)",-1.206637,-4.655807,-2.705924,-21.187788
"(0,1,8,0.6)",-1.292109,-4.527898,-2.511446,-21.571861
"(0,1,8,0.8)",-1.238879,-4.632888,-2.669946,-21.339039
"(0,1,8,1)",-1.023268,-4.000367,-1.999292,-16.000000
"(0,1,8,2)",-0.852525,-5.385013,-3.137260,-9.490881
"(0,1,8,4)",-0.215573,-5.385013,-1.067920,-10.599149
"(0,1,8,6)",-0.799720,-5.385013,-3.027399,7.450782
"(0,1,8,8)",-0.067168,-5.385013,-0.352678,-11.549831
"(0,1,8,10)",-1.177022,-5.385013,-3.567517,42.962765
"(0,1,10,0)",-1.451339,-5.713194,-4.079012,-32.783134
"(0,1,10,0.2)",-1.443063,-5.705807,-4.068978,-32.735672
"(0,1,10,0.4)",-1.456532,-5.693782,-4.050205,-32.811844
"(0,1,10,0.6)",-1.509172,-5.715782,-4.070898,-33.113754
"(0,1,10,0.8)",-1.465127,-5.711278,-4.074554,-32.861832
"(0,1,10,1)",-1.291457,-5.000000,-3.121563,-25.000000
"(0,1,10,2)",-1.013908,-5.385013,-3.403889,-19.391855
"(0,1,10,4)",-0.424603,-5.385013,-1.925917,-17.992289
"(0,1,10,6)",-0.228646,-5.385013,-1.126704,-18.695456
"(0,1,10,8)",-1.310492,-5.385013,-3.622238,24.547358
"(0,1,10,10)",-1.121806,-5.385013,-3.524042,29.516680
"(0,2,-10,0)",0.668099,5.455497,-2.305743,-28.437334
"(0,2,-10,0.2)",1.040529,5.455497,-2.428501,-30.469124
"(0,2,-10,0.4)",0.934547,5.473970,-2.495548,-29.891035
"(0,2,-10,0.6)",0.980015,5.455966,-2.465640,-30.139023
"(0,2,-10,0.8)",1.051262,5.439366,-2.402744,-30.525152
"(0,2,-10,1)",0.835866,5.000665,-2.083870,-25.000000
"(0,2,-10,2)",0.610192,4.607556,-1.694491,-22.034494
"(0,2,-10,4)",0.610067,3.820096,-1.213970,-16.616289
"(0,2,-10,6)",0.610138,1.526722,0.185294,-8.278783
"(0,2,-10,8)",0.610076,1.526722,0.185161,-6.416429
"(0,2,-10,10)",0.610198,1.526722,0.185423,-4.551910
"(0,2,-8,0)",0.711756,4.363123,-1.585689,-18.973618
"(0,2,-8,0.2)",0.711267,4.378930,-1.596886,-18.971001
"(0,2,-8,0.4)",0.747703,4.369629,-1.590006,-19.130558
"(0,2,-8,0.6)",0.741838,4.372269,-1.592544,-19.104931
"(0,2,-8,0.8)",0.739478,4.344501,-1.572180,-19.093981
"(0,2,-8,1)",0.666561,4.000016,-1.333344,-16.000000
"(0,2,-8,2)",0.610042,3.666872,-1.120492,-13.652081
"(0,2,-8,4)",0.609972,1.526722,0.184941,-7.089120
"(0,2,-8,6)",0.610081,1.526722,0.185173,-5.225775
"(0,2,-8,8)",0.610101,1.526722,0.185215,-3.362712
"(0,2,-8,10)",0.609963,1.526722,0.184922,-1.501695
"(0,2,-6,0)",0.546827,3.266124,-0.888945,-10.715184
"(0,2,-6,0.2)",0.545251,3.272574,-0.892478,-10.710079
"(0,2,-6,0.4)",0.550614,3.271885,-0.892018,-10.727625
"(0,2,-6,0.6)",0.539728,3.277433,-0.895003,-10.691952
"(0,2,-6,0.8)",0.573761,3.280131,-0.894406,-10.803537
"(0,2,-6,1)",0.545797,3.000688,-0.744083,-9.000000
"(0,2,-6,2)",0.535771,2.750166,-0.612307,-7.464126
"(0,2,-6,4)",0.535761,1.526722,0.043162,-4.375577
"(0,2,-6,6)",0.535735,1.526722,0.043117,-2.739862
"(0,2,-6,8)",0.535671,1.526722,0.043010,-1.104709
"(0,2,-6,10)",0.535666,1.526722,0.043001,0.530866
"(0,2,-4,0)",0.266018,2.182319,-0.368239,-4.547296
"(0,2,-4,0.2)",0.425927,2.140603,-0.367499,-4.891971
"(0,2,-4,0.4)",0.368494,2.185330,-0.397918,-4.770935
"(0,2,-4,0.6)",0.326066,2.167681,-0.387850,-4.678689
"(0,2,-4,0.8)",0.380954,2.158288,-0.386831,-4.797154
"(0,2,-4,1)",0.386393,1.999724,-0.324780,-4.000000
"(0,2,-4,2)",0.387345,1.526722,-0.141259,-3.184639
"(0,2,-4,4)",0.387326,1.526722,-0.141275,-2.001993
"(0,2,-4,6)",0.387446,1.526722,-0.141179,-0.818393
"(0,2,-4,8)",0.387400,1.526722,-0.141216,0.364158
"(0,2,-4,10)",0.387360,1.526722,-0.141247,1.546516
"(0,2,-2,0)",0.158208,1.093015,-0.097834,-1.164272
"(0,2,-2,0.2)",0.171376,1.093360,-0.099266,-1.178659
"(0,2,-2,0.4)",0.233898,1.090829,-0.091018,-1.246893
"(0,2,-2,0.6)",0.147079,1.091213,-0.095598,-1.152175
"(0,2,-2,0.8)",0.177042,1.088258,-0.098636,-1.184878
"(0,2,-2,1)",0.166636,0.999985,-0.083331,-1.000000
"(0,2,-2,2)",0.157769,0.621924,-0.023447,-0.758938
"(0,2,-2,4)",0.119793,0.621924,-0.031451,-0.633553
"(0,2,-2,6)",0.056935,0.621924,-0.025685,-0.680011
"(0,2,-2,8)",0.243221,0.621924,0.026204,0.201797
"(0,2,-2,10)",0.121920,1.959625,-0.194324,2.071139
"(0,2,0,0)",-0.034321,-0.000023,0.003533,-0.000001
"(0,2,0,0.2)",-0.014553,0.021316,0.000946,0.000765
"(0,2,0,0.4)",0.013284,0.001292,0.000512,-0.000015
"(0,2,0,0.6)",0.023838,0.016947,0.001301,-0.000117
"(0,2,0,0.8)",-0.023154,0.001084,0.001633,0.000026
"(0,2,0,1)",-0.035621,0.000000,0.003806,0.000000
"(0,2,0,2)",-0.000418,-0.000416,0.000000,0.000000
"(0,2,0,4)",-0.027001,-0.082216,-0.000033,0.013419
"(0,2,0,6)",-0.011104,-0.104217,-0.000787,0.016647
"(0,2,0,8)",-0.180304,0.075169,0.111082,-0.089222
"(0,2,0,10)",-0.147349,0.906340,0.198684,-0.380484
"(0,2,2,0)",-0.199274,-1.091497,-0.098377,-1.209135
"(0,2,2,0.2)",-0.202814,-1.101629,-0.100025,-1.213097
"(0,2,2,0.4)",-0.197473,-1.105954,-0.101409,-1.207170
"(0,2,2,0.6)",-0.196841,-1.099893,-0.100265,-1.206525
"(0,2,2,0.8)",-0.182449,-1.089865,-0.098982,-1.190769
"(0,2,2,1)",-0.167644,-1.000061,-0.083341,-1.000000
"(0,2,2,2)",-0.152405,-0.620319,-0.024858,-0.761303
"(0,2,2,4)",-0.152400,-0.620319,-0.024859,-0.572233
"(0,2,2,6)",-0.152397,-0.620319,-0.024860,-0.383169
"(0,2,2,8)",-0.152397,-0.620319,-0.024860,-0.194100
"(0,2,2,10)",-0.152404,-0.620319,-0.024858,-0.004993
"(0,2,4,0)",-0.323586,-2.166309,-0.386863,-4.673328
"(0,2,4,0.2)",-0.371110,-2.188733,-0.399093,-4.776640
"(0,2,4,0.4)",-0.353799,-2.183402,-0.396964,-4.738848
"(0,2,4,0.6)",-0.376390,-2.169636,-0.391621,-4.787853
"(0,2,4,0.8)",-0.316234,-2.174940,-0.387778,-4.657186
"(0,2,4,1)",-0.353557,-2.000197,-0.332176,-4.000000
"(0,2,4,2)",-0.305174,-2.027907,-0.339471,-3.380357
"(0,2,4,4)",-0.070478,-2.027907,-0.128022,-3.570452
"(0,2,4,6)",-0.337056,-2.027907,-0.342698,-0.581632
"(0,2,4,8)",-0.152405,-2.027907,-0.239381,-1.835782
"(0,2,4,10)",-0.185254,-2.027907,-0.272721,-0.618122
"(0,2,6,0)",-0.487242,-3.273161,-0.882607,-10.520204
"(0,2,6,0.2)",-0.602938,-3.271843,-0.882116,-10.898819
"(0,2,6,0.4)",-0.617476,-3.276994,-0.879635,-10.946740
"(0,2,6,0.6)",-0.658636,-3.266958,-0.850332,-11.080470
"(0,2,6,0.8)",-0.610492,-3.281040,-0.884948,-10.924064
"(0,2,6,1)",-1.106470,-2.999676,0.353774,-8.999999
"(0,2,6,2)",-0.954101,-2.027907,0.796099,-6.120206
"(0,2,6,4)",-0.372718,-2.027907,-0.339081,-5.787522
"(0,2,6,6)",-0.765853,-2.027907,0.206513,-0.289647
"(0,2,6,8)",-0.653363,-2.027907,-0.044309,1.219682
"(0,2,6,10)",-1.054670,-2.027907,1.198216,11.193926
"(0,2,8,0)",-0.787023,-4.250505,-1.487029,-19.282494
"(0,2,8,0.2)",-0.772770,-4.309048,-1.538383,-19.234392
"(0,2,8,0.4)",-0.669011,-4.360615,-1.574572,-18.787254
"(0,2,8,0.6)",-0.750772,-4.518355,-1.701279,-19.123562
"(0,2,8,0.8)",-0.768305,-4.482093,-1.672737,-19.211203
"(0,2,8,1)",-0.622220,-3.999287,-1.326963,-15.999999
"(0,2,8,2)",-0.612846,-5.385013,-2.173444,-10.781553
"(0,2,8,4)",-0.605372,-5.385013,-2.160510,-4.301938
"(0,2,8,6)",-0.394503,-5.385013,-1.657507,-3.459711
"(0,2,8,8)",-0.598119,-5.385013,-2.147640,8.464412
"(0,2,8,10)",-0.642054,-5.385013,-2.220769,17.035482
"(0,2,10,0)",-1.044448,-5.453912,-2.423712,-30.490292
"(0,2,10,0.2)",-0.929293,-5.479117,-2.500948,-29.862150
"(0,2,10,0.4)",-1.037791,-5.453359,-2.428416,-30.453915
"(0,2,10,0.6)",-0.900847,-5.428281,-2.455474,-29.706629
"(0,2,10,0.8)",-0.986375,-5.453359,-2.460250,-30.173525
"(0,2,10,1)",-0.837025,-5.000000,-2.083293,-25.000000
"(0,2,10,2)",-0.765374,-5.385013,-2.364157,-20.730217
"(0,2,10,4)",-0.613406,-5.385013,-2.174399,-14.942160
"(0,2,10,6)",-1.361986,-5.385013,-1.769294,11.819801
"(0,2,10,8)",-0.489910,-5.385013,-1.918137,-6.384550
"(0,2,10,10)",-0.344847,-5.385013,-1.500246,-8.138728
"(0,4,-10,0)",0.451002,5.263445,-1.356810,-27.304419
"(0,4,-10,0.2)",0.693113,5.272572,-1.252459,-28.580194
"(0,4,-10,0.4)",0.640683,5.259793,-1.317487,-28.302366
"(0,4,-10,0.6)",0.524326,5.262943,-1.384909,-27.690355
"(0,4,-10,0.8)",0.546788,5.247439,-1.374351,-27.808010
"(0,4,-10,1)",0.486258,5.000665,-1.249379,-25.000000
"(0,4,-10,2)",0.365998,4.720387,-1.057880,-23.194162
"(0,4,-10,4)",0.366137,4.271696,-0.893745,-19.777491
"(0,4,-10,6)",0.366033,3.741775,-0.699712,-16.568810
"(0,4,-10,8)",0.365939,1.526722,0.110871,-9.025524
"(0,4,-10,10)",0.366049,1.526722,0.111105,-7.906638
"(0,4,-8,0)",0.430033,4.227313,-0.893242,-17.766214
"(0,4,-8,0.2)",0.420584,4.210939,-0.886599,-17.726559
"(0,4,-8,0.4)",0.421031,4.199187,-0.881652,-17.728310
"(0,4,-8,0.6)",0.420086,4.199187,-0.881658,-17.724342
"(0,4,-8,0.8)",0.421090,4.199187,-0.881652,-17.728563
"(0,4,-8,1)",0.399929,4.000016,-0.800006,-16.000000
"(0,4,-8,2)",0.366015,3.800753,-0.721298,-14.569165
"(0,4,-8,4)",0.366011,3.399538,-0.574448,-11.906641
"(0,4,-8,6)",0.366093,1.526722,0.111199,-7.088280
"(0,4,-8,8)",0.365969,1.526722,0.110933,-5.971770
"(0,4,-8,10)",0.366049,1.526722,0.111105,-4.853199
"(0,4,-6,0)",0.288902,3.152769,-0.493519,-9.887503
"(0,4,-6,0.2)",0.270147,3.155870,-0.487652,-9.828255
"(0,4,-6,0.4)",0.324002,3.166568,-0.501088,-9.998228
"(0,4,-6,0.6)",0.353122,3.157621,-0.491550,-10.090181
"(0,4,-6,0.8)",0.335676,3.153289,-0.495092,-10.034985
"(0,4,-6,1)",0.347351,3.000688,-0.439028,-9.000000
"(0,4,-6,2)",0.321374,2.850681,-0.399729,-8.061570
"(0,4,-6,4)",0.321378,1.526722,0.025764,-5.357488
"(0,4,-6,6)",0.321404,1.526722,0.025809,-4.375977
"(0,4,-6,8)",0.321416,1.526722,0.025828,-3.394462
"(0,4,-6,10)",0.321445,1.526722,0.025878,-2.412630
"(0,4,-4,0)",0.271932,2.104931,-0.202663,-4.561389
"(0,4,-4,0.2)",0.281077,2.078407,-0.189171,-4.578044
"(0,4,-4,0.4)",0.197199,2.132933,-0.226175,-4.402940
"(0,4,-4,0.6)",0.223473,2.095360,-0.218556,-4.459163
"(0,4,-4,0.8)",0.205319,2.107122,-0.221853,-4.421158
"(0,4,-4,1)",0.191831,2.000001,-0.199667,-4.000000
"(0,4,-4,2)",0.232404,1.526722,-0.084758,-3.421192
"(0,4,-4,4)",0.232412,1.526722,-0.084751,-2.711521
"(0,4,-4,6)",0.232425,1.526722,-0.084741,-2.001764
"(0,4,-4,8)",0.232444,1.526722,-0.084726,-1.291870
"(0,4,-4,10)",0.232444,1.526722,-0.084726,-0.582114
"(0,4,-2,0)",0.101737,1.052593,-0.055336,-1.104322
"(0,4,-2,0.2)",0.105700,1.052396,-0.055376,-1.108493
"(0,4,-2,0.4)",0.103847,1.051709,-0.055296,-1.106543
"(0,4,-2,0.6)",0.103915,1.051152,-0.055239,-1.106614
"(0,4,-2,0.8)",0.104348,1.053109,-0.055447,-1.107069
"(0,4,-2,1)",0.099988,0.999970,-0.049997,-1.000000
"(0,4,-2,2)",0.095616,0.950019,-0.045125,-0.906665
"(0,4,-2,4)",0.084996,0.621924,-0.016740,-0.698476
"(0,4,-2,6)",0.075045,0.621924,-0.018514,-0.623696
"(0,4,-2,8)",0.046459,0.621924,-0.018102,-0.654799
"(0,4,-2,10)",0.157194,0.621924,0.025787,0.022805
"(0,4,0,0)",0.000490,0.010925,-0.000004,0.000114
"(0,4,0,0.2)",-0.014959,0.027406,0.001529,0.001161
"(0,4,0,0.4)",0.016317,0.005477,0.001242,-0.000059
"(0,4,0,0.6)",-0.017321,0.034725,0.002102,0.001807
"(0,4,0,0.8)",-0.000000,0.005477,0.000000,0.000030
"(0,4,0,1)",-0.020425,0.000000,0.002086,0.000000
"(0,4,0,2)",0.000659,-0.000240,0.000002,-0.000000
"(0,4,0,4)",-0.019111,-0.016427,0.001512,0.001212
"(0,4,0,6)",-0.076729,0.009958,0.030201,-0.003721
"(0,4,0,8)",-0.108376,-0.243078,0.032383,0.243494
"(0,4,0,10)",-0.017232,-0.312444,-0.003899,0.146077
"(0,4,2,0)",-0.107829,-1.052213,-0.055324,-1.110733
"(0,4,2,0.2)",-0.108754,-1.050570,-0.055117,-1.111697
"(0,4,2,0.4)",-0.109183,-1.057341,-0.055839,-1.112156
"(0,4,2,0.6)",-0.110357,-1.057442,-0.055803,-1.113397
"(0,4,2,0.8)",-0.107669,-1.050939,-0.055190,-1.110558
"(0,4,2,1)",-0.100170,-1.000065,-0.050006,-1.000000
"(0,4,2,2)",-0.091459,-0.952430,-0.045285,-0.910629
"(0,4,2,4)",-0.091459,-0.620319,-0.014910,-0.685642
"(0,4,2,6)",-0.091456,-0.620319,-0.014911,-0.572182
"(0,4,2,8)",-0.091432,-0.620319,-0.014918,-0.458823
"(0,4,2,10)",-0.091423,-0.620319,-0.014921,-0.345442
"(0,4,4,0)",-0.284543,-2.105509,-0.194284,-4.587976
"(0,4,4,0.2)",-0.210437,-2.105000,-0.221551,-4.431945
"(0,4,4,0.4)",-0.209448,-2.087692,-0.217921,-4.429572
"(0,4,4,0.6)",-0.210511,-2.104169,-0.221376,-4.432100
"(0,4,4,0.8)",-0.173299,-2.081771,-0.210606,-4.354082
"(0,4,4,1)",-0.184972,-2.000197,-0.198907,-4.000000
"(0,4,4,2)",-0.191426,-2.027907,-0.204975,-3.611027
"(0,4,4,4)",-0.178905,-2.027907,-0.202768,-2.910814
"(0,4,4,6)",-0.178778,-2.027907,-0.202737,-2.186498
"(0,4,4,8)",-0.091461,-2.027907,-0.143649,-2.700898
"(0,4,4,10)",-0.281030,-2.027907,-0.175013,1.129907
"(0,4,6,0)",-0.406825,-3.158870,-0.457574,-10.259867
"(0,4,6,0.2)",-0.458538,-3.158870,-0.397176,-10.423223
"(0,4,6,0.4)",-0.322576,-3.149042,-0.495529,-9.993591
"(0,4,6,0.6)",-0.355318,-3.157550,-0.490680,-10.097114
"(0,4,6,0.8)",-0.225203,-3.151312,-0.456103,-9.686790
"(0,4,6,1)",-0.394986,-2.999483,-0.404684,-9.000000
"(0,4,6,2)",-0.273129,-2.850398,-0.405529,-8.199094
"(0,4,6,4)",-0.257297,-2.027907,-0.190766,-6.489713
"(0,4,6,6)",-0.233613,-2.027907,-0.200870,-5.686304
"(0,4,6,8)",-0.404018,-2.027907,-0.003158,-2.319856
"(0,4,6,10)",-0.307362,-2.027907,-0.150944,-2.445320
"(0,4,8,0)",-0.436974,-4.154526,-0.860688,-17.791544
"(0,4,8,0.2)",-0.425062,-4.360615,-0.950143,-17.723488
"(0,4,8,0.4)",-0.421045,-4.148254,-0.860207,-17.724621
"(0,4,8,0.6)",-0.421377,-4.141498,-0.857339,-17.725109
"(0,4,8,0.8)",-0.421123,-4.199996,-0.881992,-17.728716
"(0,4,8,1)",-0.454512,-3.999222,-0.784789,-15.999999
"(0,4,8,2)",-0.380522,-5.385013,-1.325130,-12.032626
"(0,4,8,4)",-0.348344,-5.385013,-1.269119,-8.454232
"(0,4,8,6)",-0.435273,-5.385013,-1.396638,-2.361975
"(0,4,8,8)",-0.111162,-5.385013,-0.536822,-9.891493
"(0,4,8,10)",-0.091435,-5.385013,-0.450577,-9.650329
"(0,4,10,0)",-0.521273,-5.255780,-1.381068,-27.674271
"(0,4,10,0.2)",-0.528759,-5.266152,-1.386595,-27.713686
"(0,4,10,0.4)",-0.524258,-5.228091,-1.366636,-27.688845
"(0,4,10,0.6)",-0.528493,-5.263838,-1.385377,-27.712290
"(0,4,10,0.8)",-0.527631,-5.269643,-1.388455,-27.707722
"(0,4,10,1)",-0.468000,-5.000000,-1.244880,-25.000000
"(0,4,10,2)",-0.362726,-5.385013,-1.295434,-22.898479
"(0,4,10,4)",-0.654340,-5.385013,-1.382825,-14.280879
"(0,4,10,6)",-0.479725,-5.385013,-1.432645,-11.935146
"(0,4,10,8)",-0.628850,-5.385013,-1.409104,-1.147215
"(0,4,10,10)",-0.757766,-5.385013,-1.209533,11.873463
"(0,6,-10,0)",0.466797,5.187011,-0.895985,-27.386307
"(0,6,-10,0.2)",0.506985,5.187951,-0.830976,-27.594889
"(0,6,-10,0.4)",0.370127,5.180991,-0.958667,-26.884869
"(0,6,-10,0.6)",0.410643,5.184632,-0.948639,-27.094944
"(0,6,-10,0.8)",0.349918,5.184510,-0.957055,-26.780111
"(0,6,-10,1)",0.342867,5.000665,-0.891659,-25.000000
"(0,6,-10,2)",0.261428,4.811463,-0.779439,-23.706606
"(0,6,-10,4)",0.261448,4.456504,-0.686659,-21.209183
"(0,6,-10,6)",0.261431,4.113007,-0.596844,-18.836912
"(0,6,-10,8)",0.261441,3.684918,-0.484929,-16.526844
"(0,6,-10,10)",0.261456,1.526722,0.079343,-9.343807
"(0,6,-8,0)",0.314862,4.149395,-0.612520,-17.284168
"(0,6,-8,0.2)",0.295345,4.141682,-0.612624,-17.203152
"(0,6,-8,0.4)",0.314462,4.151291,-0.613219,-17.282536
"(0,6,-8,0.6)",0.294495,4.142550,-0.612869,-17.199638
"(0,6,-8,0.8)",0.297636,4.152997,-0.615971,-17.212671
"(0,6,-8,1)",0.285699,3.999968,-0.571419,-15.999999
"(0,6,-8,2)",0.261469,3.857051,-0.529937,-14.971066
"(0,6,-8,4)",0.261451,3.570746,-0.455079,-13.015014
"(0,6,-8,6)",0.261433,3.285085,-0.380399,-11.194754
"(0,6,-8,8)",0.261465,1.526722,0.079364,-7.088601
"(0,6,-8,10)",0.261430,1.526722,0.079289,-6.290715
"(0,6,-6,0)",0.212293,3.108933,-0.344526,-9.648138
"(0,6,-6,0.2)",0.226364,3.108276,-0.344917,-9.691877
"(0,6,-6,0.4)",0.221598,3.111548,-0.345773,-9.677070
"(0,6,-6,0.6)",0.257126,3.111146,-0.337160,-9.787604
"(0,6,-6,0.8)",0.220255,3.107317,-0.344816,-9.672884
"(0,6,-6,1)",0.215181,3.000688,-0.321571,-9.000000
"(0,6,-6,2)",0.229598,2.892296,-0.295059,-8.324333
"(0,6,-6,4)",0.229573,2.659094,-0.241530,-7.052412
"(0,6,-6,6)",0.229561,1.526722,0.018412,-5.077075
"(0,6,-6,8)",0.229628,1.526722,0.018525,-4.375408
"(0,6,-6,10)",0.229639,1.526722,0.018543,-3.674102
"(0,6,-4,0)",0.165470,2.052238,-0.147922,-4.336854
"(0,6,-4,0.2)",0.103926,2.074132,-0.139952,-4.210062
"(0,6,-4,0.4)",0.121323,2.071267,-0.148257,-4.246212
"(0,6,-4,0.6)",0.146505,2.066503,-0.152507,-4.298331
